code,name,province_id
1101,Kabupaten Aceh Selatan,11
1102,Kabupaten Aceh Tenggara,11
1103,Kabupaten Aceh Timur,11
1104,Kabupaten Aceh Tengah,11
1105,Kabupaten Aceh Barat,11
1106,Kabupaten Aceh Besar,11
1107,Kabupaten Pidie,11
1108,Kabupaten Aceh Utara,11
1109,Kabupaten Simeulue,11
1110,Kabupaten Aceh Singkil,11
1111,Kabupaten Bireuen,11
1112,Kabupaten Aceh Barat Daya,11
1113,Kabupaten Gayo Lues,11
1114,Kabupaten Aceh Jaya,11
1115,Kabupaten Nagan Raya,11
1116,Kabupaten Aceh Tamiang,11
1117,Kabupaten Bener Meriah,11
1118,Kabupaten Pidie Jaya,11
1171,Kota Banda Aceh,11
1172,Kota Sabang,11
1173,Kota Lhokseumawe,11
1174,Kota Langsa,11
1175,Kota Subulussalam,11
1201,Kabupaten Tapanuli Tengah,12
1202,Kabupaten Tapanuli Utara,12
1203,Kabupaten Tapanuli Selatan,12
1204,Kabupaten Nias,12
1205,Kabupaten Langkat,12
1206,Kabupaten Karo,12
1207,Kabupaten Deli Serdang,12
1208,Kabupaten Simalungun,12
1209,Kabupaten Asahan,12
1210,Kabupaten Labuhanbatu,12
1211,Kabupaten Dairi,12
1212,Kabupaten Toba,12
1213,Kabupaten Mandailing Natal,12
1214,Kabupaten Nias Selatan,12
1215,Kabupaten Pakpak Bharat,12
1216,Kabupaten Humbang Hasundutan,12
1217,Kabupaten Samosir,12
1218,Kabupaten Serdang Bedagai,12
1219,Kabupaten Batu Bara,12
1220,Kabupaten Padang Lawas Utara,12
1221,Kabupaten Padang Lawas,12
1222,Kabupaten Labuhanbatu Selatan,12
1223,Kabupaten Labuhanbatu Utara,12
1224,Kabupaten Nias Utara,12
1225,Kabupaten Nias Barat,12
1271,Kota Medan,12
1272,Kota Pematangsiantar,12
1273,Kota Sibolga,12
1274,Kota Tanjungbalai,12
1275,Kota Binjai,12
1276,Kota Tebing Tinggi,12
1277,Kota Padangsidimpuan,12
1278,Kota Gunungsitoli,12
1301,Kabupaten Pesisir Selatan,13
1302,Kabupaten Solok,13
1303,Kabupaten Sijunjung,13
1304,Kabupaten Tanah Datar,13
1305,Kabupaten Padang Pariaman,13
1306,Kabupaten Agam,13
1307,Kabupaten Lima Puluh Kota,13
1308,Kabupaten Pasaman,13
1309,Kabupaten Kepulauan Mentawai,13
1310,Kabupaten Dharmasraya,13
1311,Kabupaten Solok Selatan,13
1312,Kabupaten Pasaman Barat,13
1371,Kota Padang,13
1372,Kota Solok,13
1373,Kota Sawahlunto,13
1374,Kota Padang Panjang,13
1375,Kota Bukittinggi,13
1376,Kota Payakumbuh,13
1377,Kota Pariaman,13
1401,Kabupaten Kampar,14
1402,Kabupaten Indragiri Hulu,14
1403,Kabupaten Bengkalis,14
1404,Kabupaten Indragiri Hilir,14
1405,Kabupaten Pelalawan,14
1406,Kabupaten Rokan Hulu,14
1407,Kabupaten Rokan Hilir,14
1408,Kabupaten Siak,14
1409,Kabupaten Kuantan Singingi,14
1410,Kabupaten Kepulauan Meranti,14
1471,Kota Pekanbaru,14
1472,Kota Dumai,14
1501,Kabupaten Kerinci,15
1502,Kabupaten  Merangin,15
1503,Kabupaten Sarolangun,15
1504,Kabupaten Batanghari,15
1505,Kabupaten  Muaro Jambi,15
